SAMPLE_NO,LONGITUDE,LATITUDE,Ca_ppm,Cu_ppm,K_ppm,Mn_ppm,Ti_ppm
4107836,137.8732559,-34.5439679,17264,272,19296,425,2233
4107767,137.8738156,-34.5444054,63768,325,20617,436,2264
4107768,137.8740877,-34.544399,45120,284,17149,461,2794
4108116,137.8712891,-34.5422113,52363,235,18069,546,3104
4108117,137.8715612,-34.5422049,104907,227,11363,382,5154
4107909,137.8735125,-34.5435111,109366,202,16026,403,4153
4107948,137.8737769,-34.5432795,29829,180,13585,565,3047
4108118,137.8718333,-34.5421985,142998,168,11030,299,5283
4107910,137.8737846,-34.5435046,45381,167,10987,346,3022
4107805,137.8746242,-34.5441611,43962,164,15026,319,2483
4107807,137.8751685,-34.5441483,42468,157,16785,390,2042
4107983,137.873497,-34.5430607,76402,151,9224,522,4997
4106902,137.872361,-34.5496227,49254,146,12304,299,1409
4107965,137.8685989,-34.543176,112082,143,11808,217,3626
4107855,137.8686221,-34.5438515,85619,141,13489,544,2727
4107770,137.874632,-34.5443862,62270,127,18155,250,1998
4107823,137.8697183,-34.5440512,6069,126,3895,191,4556
4107840,137.8743444,-34.5439423,35088,124,34033,330,1574
4106866,137.8731851,-34.5498287,84916,114,12960,472,2140
4107731,137.8732791,-34.5446433,243377,110,16602,728,2241
4108188,137.8712736,-34.541761,83822,106,14870,400,2604
4107771,137.8749041,-34.5443798,37792,103,16290,267,2102
4107839,137.8740722,-34.5439487,28737,99,23507,212,829
4107766,137.8735435,-34.5444118,62406,96,17498,254,2534
4108239,137.8753476,-34.5414398,103590,90,5193,686,1479
4107395,137.8684505,-34.5467851,26041,88,12801,191,1599
4108119,137.8721055,-34.5421921,64061,81,14760,222,2047
4107841,137.8746165,-34.5439359,46211,80,18455,319,2512
4107736,137.8746397,-34.5446113,158016,80,16772,515,1658
4107877,137.8746087,-34.5437106,111744,79,17280,492,3456
4107843,137.8751607,-34.543923,28993,78,15473,363,1923
4107842,137.8748886,-34.5439294,41156,75,19652,308,2515
4107911,137.8740567,-34.5434982,16449,75,10003,200,1597
4107808,137.8754406,-34.5441418,52397,74,14085,293,2319
4107432,137.8678985,-34.5465727,106124,73,11726,566,1371
4107806,137.8748963,-34.5441547,60682,72,16211,412,2917
4107838,137.8738001,-34.5439551,93767,72,14505,149,1763
4107844,137.8754328,-34.5439166,46710,71,17531,251,2264
4108387,137.8758608,-34.5405262,48259,70,8171,180,4159
4107804,137.8743521,-34.5441675,36196,70,9790,312,1622
4108058,137.8748421,-34.5425784,29881,67,17177,212,2418
4107802,137.8738079,-34.5441803,47951,67,15657,261,2232
4108385,137.8753166,-34.540539,32442,65,6707,120,4831
4107769,137.8743598,-34.5443926,55498,64,14961,239,1605
4107908,137.8732404,-34.5435175,23286,63,36503,353,1985
4108056,137.8742979,-34.5425912,59139,62,13026,301,2891
4108508,137.8673945,-34.539824,31773,60,26561,1297,4018
4107875,137.8740645,-34.5437235,38315,58,15490,291,3528
4107876,137.8743366,-34.5437171,44673,58,16180,355,3459
4108510,137.8679387,-34.5398113,24821,58,23520,1552,3205
4107561,137.8746785,-34.5457372,5348,57,10209,93,1807
4108120,137.8723776,-34.5421857,34656,56,16522,375,2388
4108289,137.8693457,-34.5411304,36004,55,28863,522,2396
4107663,137.8738388,-34.5450809,80386,54,11625,281,1922
4108126,137.8740103,-34.5421473,41208,54,12686,136,1701
4107947,137.8735048,-34.543286,51355,53,7092,276,4890
4107845,137.8757049,-34.5439102,31823,53,19487,301,3178
4107765,137.8732714,-34.5444182,53279,53,12840,124,1690
4107581,137.8703167,-34.5456145,90064,52,11417,241,1376
4108364,137.8696023,-34.5406735,40832,51,11227,244,4501
4108190,137.8718179,-34.5417482,64496,51,15321,385,1813
4108165,137.8748189,-34.5419029,39753,51,13829,218,1774
4107666,137.8746552,-34.5450616,27609,51,10896,108,1642
4107809,137.8757127,-34.5441354,19992,50,15483,206,2205
4107594,137.8741265,-34.5455248,14714,50,10254,158,2019
4107953,137.8751375,-34.5432475,65588,50,17701,408,1447
4107701,137.8746475,-34.5448365,9519,49,15090,141,2637
4107611,137.8689483,-34.5454214,53561,49,13357,466,2536
4107878,137.8748808,-34.5437042,86717,48,11857,390,3895
4107665,137.8743831,-34.545068,22858,48,14624,183,2910
4107950,137.8743211,-34.5432667,8871,48,14114,443,2837
4107772,137.8751762,-34.5443734,24109,48,16826,195,2268
4107998,137.8677748,-34.5429701,14037,47,6660,176,4167
4108549,137.8682031,-34.5395797,30956,47,18951,1105,3237
4108127,137.8742824,-34.5421408,48125,47,18128,159,1984
4108548,137.867931,-34.5395861,29413,46,23560,1996,4654
4107732,137.8735512,-34.5446369,25961,46,15351,258,2304
4107511,137.8695158,-34.546084,54866,46,12757,137,1840
4107867,137.8718875,-34.5437747,130367,45,9581,385,3073
4107837,137.873528,-34.5439615,18877,45,34833,133,1591
4107942,137.8721442,-34.543318,41368,43,14850,365,3526
4108024,137.8748498,-34.5428036,76946,43,15621,299,2796
4108547,137.8676589,-34.5395925,28094,43,19665,816,2526
4108084,137.8721132,-34.5424173,19667,42,19668,420,3242
4108398,137.8685061,-34.540474,8064,42,20196,664,3227
4108145,137.8693766,-34.542031,55600,42,16952,303,2488
4107007,137.8690721,-34.549024,5539,41,4399,145,3789
4107393,137.8679062,-34.5467979,51358,41,13733,189,2854
4107803,137.87408,-34.5441739,94313,41,10893,256,2809
4107941,137.8718721,-34.5433244,88515,40,12581,468,4977
